ID,LATITUDE,LONGITUDE,ELEVATION,2018_MB,2019_MB,2020_MB,2021_MB,2022_MB,2023_MB,2024_MB,Total_Size_MB
USI0000KCXU,31.2129,-84.2368,53.3,13.0,13.0,14.0,13.0,14.0,14.0,7.0,88.0
USI0000KCXW,35.0199,-92.5551,84.1,10.0,14.0,14.0,13.0,13.0,14.0,6.0,84.0
USI0000KCXX,44.5167,-73.1667,97.0,,,,,,,,
USI0000KCYD,28.17,-89.22,1.0,,,9.0,13.0,11.0,10.0,6.0,
USI0000KCZD,40.8691,-100.0042,762.6,,,,,,,,
USI0000KCZL,34.4554,-84.9392,197.2,10.0,11.0,14.0,14.0,13.0,11.0,6.0,79.0
USI0000KCZT,28.5222,-99.8236,182.6,13.0,13.0,14.0,12.0,7.0,13.0,6.0,78.0
USI0000KD57,46.8128,-101.8602,636.7,10.0,13.0,8.0,14.0,14.0,14.0,7.0,80.0
USI0000KD73,33.7824,-83.6929,264.3,14.0,14.0,14.0,13.0,14.0,14.0,7.0,90.0
USI0000KDFX,29.2667,-100.2833,345.0,,,,,,,,
USI0000KDKX,35.9639,-83.8739,253.9,13.0,14.0,13.0,13.0,12.0,14.0,7.0,86.0
USI0000KDLO,35.7456,-119.2365,95.7,14.0,14.0,11.0,11.0,13.0,11.0,7.0,81.0
USI0000KDOX,38.8333,-75.4333,15.0,,,,,,,,
USI0000KDSF,28.35,-88.2667,40.0,12.0,13.0,12.0,14.0,14.0,13.0,7.0,85.0
USI0000KDWU,38.5545,-82.738,166.4,7.0,7.0,7.0,7.0,7.0,7.0,3.0,45.0
USI0000KDZJ,34.85,-83.9833,582.0,13.0,14.0,14.0,14.0,14.0,13.0,7.0,89.0
USI0000KE41,31.1989,-101.4725,824.8,,,9.0,14.0,14.0,14.0,7.0,
USI0000KE42,36.221,-101.1945,941.8,,,,13.0,14.0,14.0,7.0,
USI0000KEAN,42.05,-104.9333,1455.1,14.0,12.0,9.0,14.0,14.0,14.0,6.0,83.0
USI0000KEDN,31.2997,-85.8999,110.9,14.0,14.0,14.0,14.0,14.0,14.0,5.0,89.0
USI0000KEFC,44.7342,-103.862,972.3,,,,,,,,
USI0000KEFW,42.0102,-94.3426,319.4,,0.004,,,,,,
USI0000KEGI,30.6504,-86.5229,59.4,8.0,8.0,8.0,10.0,9.0,9.0,4.0,56.0
USI0000KEHY,41.7333,-106.4667,2225.0,14.0,12.0,11.0,12.0,9.0,2.0,7.0,
USI0000KEKS,45.2718,-111.6486,1640.7,14.0,14.0,13.0,12.0,14.0,14.0,7.0,88.0
USI0000KEKX,37.686,-85.925,236.2,13.0,14.0,14.0,14.0,14.0,13.0,7.0,89.0
USI0000KEKY,33.3129,-86.9259,213.1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,39.0
USI0000KELA,29.6006,-96.3219,56.1,14.0,14.0,14.0,12.0,14.0,13.0,6.0,87.0
USI0000KEMX,31.9,-110.6333,1586.0,,,,,,,,
USI0000KEQA,37.7741,-96.8176,420.0,14.0,14.0,14.0,14.0,14.0,13.0,7.0,90.0
USI0000KETN,32.4135,-98.8098,446.2,14.0,14.0,14.0,14.0,14.0,14.0,7.0,91.0
USI0000KEVU,40.3525,-94.915,350.5,13.0,7.0,8.0,14.0,14.0,14.0,7.0,77.0
USI0000KEZP,28.22,-92.7946,33.0,,,8.0,,8.0,11.0,7.0,
USI0000KEZZ,39.7276,-94.2764,315.8,8.0,14.0,14.0,14.0,14.0,14.0,7.0,85.0
USI0000KF00,33.6128,-96.1793,188.4,14.0,14.0,14.0,14.0,14.0,14.0,7.0,91.0
USI0000KF17,31.8316,-94.1564,97.2,11.0,14.0,6.0,14.0,9.0,13.0,7.0,74.0
USI0000KF45,26.8444,-80.2213,6.7,9.0,13.0,14.0,9.0,11.0,4.0,6.0,66.0
USI0000KF70,33.5742,-117.1285,411.5,13.0,14.0,13.0,13.0,14.0,13.0,6.0,86.0
USI0000KFDX,34.6333,-103.6333,1417.0,,,,,,,,
USI0000KFGX,38.5418,-83.7434,278.3,14.0,14.0,14.0,14.0,14.0,13.0,7.0,90.0
USI0000KFKR,40.2734,-86.5622,262.4,14.0,14.0,14.0,14.0,13.0,12.0,6.0,87.0
USI0000KFLV,39.3683,-94.9147,235.3,,,,,,,,
USI0000KFRH,38.5062,-86.6369,241.4,14.0,14.0,14.0,7.0,14.0,13.0,7.0,83.0
USI0000KFSX,34.5667,-111.2,2261.0,,,,,,,,
USI0000KFYE,35.2077,-89.3945,132.9,11.0,11.0,11.0,13.0,11.0,13.0,5.0,75.0
USI0000KFYM,35.0584,-86.5644,299.9,13.0,14.0,12.0,13.0,13.0,13.0,5.0,83.0
USI0000KGCY,36.193,-82.8151,490.1,10.0,14.0,14.0,14.0,13.0,14.0,7.0,86.0
USI0000KGGB,37.817,-122.467,81.0,,,,,,,,
USI0000KGKT,35.8578,-83.5287,309.1,13.0,14.0,14.0,13.0,12.0,14.0,7.0,87.0
USI0000KGNB,40.0897,-105.9172,2500.3,14.0,14.0,13.0,13.0,14.0,14.0,7.0,89.0
USI0000KGNF,33.8325,-89.7982,63.4,,0.006,,,,,,
USI0000KGSM,28.53,-90.98,1.0,,,,,,,,
USI0000KGUR,42.2596,-104.7283,1341.1,0.012,6.0,6.0,6.0,6.0,7.0,3.0,
USI0000KGVQ,43.0317,-78.1676,278.3,3.0,7.0,7.0,7.0,7.0,6.0,3.0,
USI0000KGXA,34.5639,-117.675,920.5,4.0,5.0,5.0,4.0,,4.0,3.0,
USI0000KGZN,32.3667,-99.0167,521.5,14.0,14.0,14.0,14.0,14.0,14.0,6.0,90.0
USI0000KGZS,35.1537,-87.0568,208.8,13.0,13.0,14.0,12.0,12.0,13.0,7.0,84.0
USI0000KH08,28.4667,-93.7333,30.0,,,,,,,,
